artist_name,event_location,event_title,event_day,event_start_time,event_summary,source_url
Amos Trust,Pagoda,What next for Gaza?,Sunday,11:30,"After 40,000 deaths, 100,000 injured, the displacement of 2million people, mass starvation and widespread destruction, expert panellists discuss what the future holds for Gaza and the ramifications of the last ten months.",https://www.greenbelt.org.uk/artists/amos/?back=1
Amos Trust,No Fly Zone,Requiem: Remembering Gaza,Sunday,20:00,"Amos Trust presents Requiem. Through music, film and spoken word, we will reflect, we will mourn and we will stand in solidarity with Gaza.",https://www.greenbelt.org.uk/artists/amos/?back=1
Ayla Lepine,Glade,The Power of a Dream,Sunday,12:00,"Joyous and uplifting music from the Soul Sanctuary Gospel Choir, paired with inspiring pop art by the nun and activist Sister Corita Kent. Hosted by Ayla Lepine, Associate Rector of St James’s Piccadilly.",https://www.greenbelt.org.uk/artists/ayla-lepine/?back=1
Ashley John-Baptiste,Pagoda,Looked After,Saturday,19:00,Author Ashley John-Baptiste knows all too well the struggles young people in care and foster families face. His story reflects one of the 38K children coming into the care system this year. Join him as he shares his experiences.,https://www.greenbelt.org.uk/artists/ashley-john-baptiste/?back=1
Ashley Green-Thompson,No Fly Zone,Make Poverty History? Dream On!,Saturday,12:30,"20 years ago, we marched on the G8 summit demanding an end to poverty. What happened? As the African continent experiences its worst debt crisis in a generation, join us to explore whether it can ever really be over.  With Jamie Drummond from Sharing Strategies (joining remotely), Ashley Green-Thompson from ACT Ubumbano (joining remotely) and Osai Ojigho from Christian Aid",https://www.greenbelt.org.uk/artists/ashley-green-thompson/?back=1
Art & Christianity,Residency,A Balancing Act? Surviving And Thriving With Faith In The Arts,Saturday,16:00,"What does it look like to practise art as a person of faith? How is contemporary art changing, and what might this mean for our practices?   Calling artists, makers, curators, producers and art lovers to join us for a conversation exploring these questions. Followed by a social, networking event (optional).  Hosted by Hannah Gaunt With Art & Christianity, Arts Chaplaincy, and Morphe Arts",https://www.greenbelt.org.uk/artists/art-christianity/?back=1
Art & Christianity,Residency,Art & Faith Social & Networking,Saturday,17:00,"With Art & Christianity, Arts Chaplaincy Projects & Morphe Arts  Continue the conversation begun in ‘A Balancing Act?’ with an opportunity for Greenbelters to share ideas and network amongst Art & Faith organisations.   (There is no requirement to have attended ‘A Balancing Act?’ first).  Facilitated by Hannah Gaunt",https://www.greenbelt.org.uk/artists/art-christianity/?back=1
Arthur Juggler,Ta Dah!,Arthur Juggler,Friday,11:15,"Jampacked with award-winning circus acts, mesmerising hoop tricks, games and more. A high energy show of side-splitting silliness! Hang around after the show to try your hand at plate spinning with a master in the craft.",https://www.greenbelt.org.uk/artists/arthur-juggler/?back=1
Arthur Juggler,Ta Dah!,Late Night Village,Friday,19:15,"Expect high energy entertainment, audience participation and side splitting silliness with Arthur Juggler’s jam-packed, award-winning show of circus skills, mesmerising hoop tricks, games and more.",https://www.greenbelt.org.uk/artists/arthur-juggler/?back=1
Arthur Juggler,Out & About,Arthur Juggler,Friday,15:00,"Jampacked with award-winning circus acts, mesmerizing hoop tricks, games and more. A high energy show of side-splitting silliness! Hang around after the show to try your hand at plate spinning with a master in the craft.",https://www.greenbelt.org.uk/artists/arthur-juggler/?back=1
"Apples in Winter, presented by Lynchpin Theatre",Playhouse,Apples in Winter,Saturday,18:15,"Miriam is making apple pie. It is her son’s last meal before he is executed after 22 years on death row. In this powerful and compassionate play, we see Miriam attempt to understand what happened to her son.",https://www.greenbelt.org.uk/artists/apples-in-winter-presented-by-lynchpin-theatre/?back=1
"Apples in Winter, presented by Lynchpin Theatre",Playhouse,Apples in Winter,Sunday,12:00,"Miriam is making apple pie. It is her son’s last meal before he is executed after 22 years on death row. In this powerful and compassionate play, we see Miriam attempt to understand what happened to her son.",https://www.greenbelt.org.uk/artists/apples-in-winter-presented-by-lynchpin-theatre/?back=1
Ariel Dempsey,Glade,Communion: Dreaming of Home,Sunday,10:00,"GATHER FROM 09.00. SERVICE STARTS AT 10.00.  If you were forced to flee your home, what would you take with you? Photographs for memories? Documents for identity? Food for sustenance?  Almost certainly you would carry with you the hope of a future home where we can all break bread together in peace.  We all dream of home — a place where we can live in peace; where we can make bread, and eat it, and share it with those we love. Many of us have homes that give us at least some of this — though home can also be a fraught place, where the sadness of the world is literally brought home to us. And for others, home is a distant dream.  This year, tens of thousands of people living in Gaza have been forced to leave their homes. Many times over. We stand with them, and with those peace-loving people in Israel who want to create a homeland they can share. We gather this year with hearts wrung out by the conflict in the Middle East.  Because of this, our Act of Communion will have a simple, stripped-down feel. We will meet like those who are still searching for a safe home. More than ever, it will be an act of participation, something we make together.  Daoud Nassar will be with us and we will break bread with the those at theTent of Nations, his family farm outside Bethlehem where their ancestral land is under threat. Bethlehem was the birthplace of Jesus. The name means ‘House of Bread’. And bread will be at the centre of our meeting.  Sometimes we make our homes very small. Sometimes we focus on home as a place of protection instead of hospitality. Jesus didn’t promise his followers a secure home at all — quite the opposite. In fact, he said: ‘Foxes have dens and birds have nests, but the Son of Man has nowhere to lay his head.’  What Jesus did offer was bread for today, and a vision of a heavenly home. As we share our physical homes, we work to shape the home of ourdreams: a community that will give human relationships the sturdiness that earth alone does not provide.  Our Act of Communion will be hosted by Isaac Borquaye, better known as Guvna B. Music will come from Siskin Green, a contemporary Scottish folk trio, who draw on themes of faith, feminism and justice. It will also feature Cyr wheel with Ariel Dempsey and a song from Flamy Grant.",https://www.greenbelt.org.uk/artists/ariel-dempsey/?back=1
Antony Szmierek,Glade,Antony Szmierek,Saturday,18:15,"Jarvis Cocker for the UK garage generation. 6 Music A-lister Antony crafts engaging kitchen-sink stories, which flow over lush, spacey beats. A spell as a teacher taught him to value “communities, people and empathy”: a kindred Greenbelt spirit.",https://www.greenbelt.org.uk/artists/antony-szmierek/?back=1
Wooburn Forest Church,Grove,Memories and Dreams,Saturday,22:00,"The landscape reminds us of what once was. Twigs scattered among discarded leaves, each telling a story on the path to the present. What lies scattered at our feet that inspires us to dream of more to come, of another future?",https://www.greenbelt.org.uk/artists/wooburn-forest-church/?back=1
Worldwide Welshman,Canopy,Worldwide Welshman,Friday,21:15,"Liam Rickard, AKA Worldwide Welshman, entertains crowds – as his moniker suggests, across the world – with a multi-lingual mix of tragi-comic folk-pop ballads, party-bangers, improvisations, folk songs from Wales and beyond, and comedic anecdotes.",https://www.greenbelt.org.uk/artists/worldwide-welshman/?back=1
Willie Williams,Hope & Anchor,Queer Genealogy,Friday,17:00,"Greenbelt is a welcoming home to queer spirituality, with an open LGBTQ+ presence.  While always part of Greenbelt’s DNA, the journey has not been straightforward. Back in 1991, fed up with the word ‘gay’ always being followed by the word ‘issue’, Robert Palmer and Willie Williams set up Greenbelt’s first gay ‘safe space’ (called “No Agenda”) without the knowledge of the organisers. The rest, as they say, is history. In this light-hearted session, Robert and Willie will be in conversation with Hayley Barnden and Chris Gray from the current OUT@Greenbelt team, comparing notes across the generations. From AIDS and visibility to gender identity and pronouns, the session will look at what was important then and now, and reflect on the progress of the last 30 years.",https://www.greenbelt.org.uk/artists/willie-williams/?back=1
William Temple Foundation,Pagoda,A 500-year history of AI,Friday,11:00,"AI is both stunningly new, and rooted in ancient desires. As we finally welcome this long-gestating technology amongst us, what can we learn from the myths and monsters of the past about how to thrive alongside it?",https://www.greenbelt.org.uk/artists/william-temple-foundation-2/?back=1
William Temple Foundation,Pagoda,Being Human in an AI Age,Saturday,09:30,"ChatGPT and its AI siblings are the talk of the town – and the country. Anthropologist and professor of Digital Religions Dr Beth Singler explores whether religion is disrupted by AI, and how faith in AI is evolving.",https://www.greenbelt.org.uk/artists/william-temple-foundation-2/?back=1
William Temple Foundation,Residency,Gaming in Generative Worlds,Saturday,18:30,Discover emigration stories while you cook Indian dishes from lost recipes. Record the sounds of a soon-to-be-lost valley community. These surprising spaces offer even reluctant digital nomads new ways to hope.,https://www.greenbelt.org.uk/artists/william-temple-foundation-2/?back=1
William Temple Foundation,Residency,Extended Play,Saturday,20:00,Stay with Andy and Fede after the session for more time to explore the games and ask questions.,https://www.greenbelt.org.uk/artists/william-temple-foundation-2/?back=1
William Temple Foundation,Pagoda,AI and Earthly Futures,Sunday,14:30,"What is the narrative of our destiny and who do we think controls it? A panel conversation drawing together the various strands of AI thinking from across the weekend. With Professor in Digital Religion Beth Singler, writer of God-like Kester Brewin, Oxford Professor in post-digital learning Maggi Savin-Baden, and chaired by the William Temple Foundation's Chris Baker.",https://www.greenbelt.org.uk/artists/william-temple-foundation-2/?back=1
William Gibson,No Fly Zone,Solidarity Not Charity In The Age Of Nakba,Friday,20:00,"From the demos to the University encampments, young adults are leading the way in rethinking action for Palestine. Join a panel of young adult Christians as we dream about where this activism goes next.  With William Gibson from the Student Christian Movement, Georgia Mifsud from University of Amsterdam and Bella Cross from Christian Aid.",https://www.greenbelt.org.uk/artists/william-gibson/?back=1
Wilderthorn,Shelter,Immerse,Saturday,23:00,"Venture deep into meditative space with this candle-lit experience of atmospheric textures and ethereal sounds drawn from nature, with soaring layers of wordless vocals by singer-composer Wilderthorn.",https://www.greenbelt.org.uk/artists/wilderthorn/?back=1
Wild Goose Resource Group,No Fly Zone,Prayers for the World,Friday,09:30,"Start the day with Wild Goose Resource Group and Christian Aid with prayers and worship for peace and justice, including a reflection from Christian Aid’s Global Theology Advisor, Bob Kikuyu, in Nairobi.",https://www.greenbelt.org.uk/artists/wild-goose-resource-group-2/?back=1
Wild Goose Resource Group,No Fly Zone,Prayers for the World,Saturday,09:30,"Start the day with Wild Goose Resource Group and Christian Aid with prayers and worship for peace and justice, including a reflection from Christian Aid’s Global Theology Advisor, Bob Kikuyu, in Nairobi.",https://www.greenbelt.org.uk/artists/wild-goose-resource-group-2/?back=1
Wild Goose Resource Group,Shelter,Big Sing,Sunday,15:30,An annual vocal extravaganza for all who believe they can sing/can't sing/won't sing and any who are fed up with the church praise band doing its own upbeat versions of How Great Thou Art.  Come and make harmony with us! Featuring fresh material from the world church (and new staff from the Wild Goose Resource Group!),https://www.greenbelt.org.uk/artists/wild-goose-resource-group-2/?back=1
Wild Goose Resource Group,No Fly Zone,Prayers for the World,Sunday,09:00,"Start the day with Wild Goose resource Group and Christian Aid with prayers and worship for peace and justice, including a reflection from Christian Aid’s Global Theology Advisor, Bob Kikuyu, in Nairobi.",https://www.greenbelt.org.uk/artists/wild-goose-resource-group-2/?back=1
West-Midlands Forest Church and friends,Grove,A Late Summer Night’s Dream,Sunday,22:00,"The festival is about to finish for another year, so join us as we share communion and reflect on the dreams we have for the coming year – for us, the places we will return to and our planetary home.",https://www.greenbelt.org.uk/artists/west-midlands-forest-church-and-friends/?back=1
Vanessa Kisuule,Pagoda,Woken Spurred,Sunday,19:00,"Lovingly curated by our very own champion performance poet Harry Baker, Woken Spurred showcases some of the best wordsmiths across site, plus a few imported in especially. From poetry first-timers to well-versed rhymers, something for everyone.",https://www.greenbelt.org.uk/artists/vanessa-kisuule-2/?back=1
Wesley Wroe,Hot House,Tread Lightly: Campaign!,Saturday,11:00,"Better transport choice and nicer places: everyone can play their part in helping to shape the sustainable streets of the future and allowing nature and people to thrive. Our panel of experts will show you how.  With Wesley Wroe, Sarah Rowe, Josh Grantham, Dave Walker",https://www.greenbelt.org.uk/artists/wesley-wroe-2/?back=1
Wesley Wroe,Hot House,Tread Lightly to Greenbelt,Sunday,11:30,"Over 90% of people travel to Greenbelt by car, accounting for 98% of the festival’s carbon footprint. From booking to cooking, how can we make sustainable transport choices easier and more attractive? Bring your ideas!  With Wesley Wroe, Anna Williams, and Jess Jones, Greenbelt's Lead on sustainability",https://www.greenbelt.org.uk/artists/wesley-wroe-2/?back=1
Vanessa Nakate,No Fly Zone,Vanessa Nakate In Conversation,Sunday,13:30,"Vanessa Nakate is a climate activist, Christian, Unicef goodwill ambassador and author. She speaks to Chine McDonald about how faith can sustain action for climate justice.",https://www.greenbelt.org.uk/artists/vanessa-nakate/?back=1
United Reformed Church,yoURCafe,The Election Is Over: Let The Politics Begin!,Friday,11:30,Join Citizens UK and the Joint Public Issues Team to explore how you and your church/community can affect the political climate on the issues you care about.,https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Whose Dream Are We Living?,Friday,10:00,"A diverse panel of guests discuss conformity and exclusion in the Church and society. Can the Church ever be a good ally for people on the margins, or are we destined to forever keep people ‘not like us’ on the outside?",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,10-minute Tales,Friday,14:00,"Hear stories of overcoming challenge and personal transformation, from the very people who have lived it. Ordinary people, everyday problems, big dreams, hard-won discoveries.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Bedtime Stories,Friday,18:00,"Brilliant tales read aloud, chosen to give little ones a gentle end to their day, and encourage daring dreams. Also a hit with their tired adults.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Palestine Today #1,Friday,19:00,"Hosted by Sally Assam from Nazareth, this chat show features Palestinian guests and discusses the ‘facts on the ground’ in Gaza and the West Bank, and why our advocacy is so important. With mint tea and balkalva.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,The Grace,Friday,21:00,"A gentle pause in the evening to reflect on your day and feed great dreams. With music, poetry, artwork, prayers and space to ponder. Led by Revd Eddie Boon.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Whose Dream Are We Living?,Friday,16:00,"‘I have a dream,’ Martin Luther King said, calling out the nightmare of Black oppression. In small group discussion, we’ll explore how to live your authentic dream and ditch the nightmares of conformity and exclusion.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Creating Safer Sacred Spaces For LGBTQIA+ People,Friday,14:30,"Learn how to cultivate an enriching and safe environment where LGBTQIA+ people can explore and develop faith.   Open Table has been doing this for 16 years, with around 40 active communities in Britain.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Dreaming of a Church that copes with difference,Saturday,10:00,What if we disagree on scripture? Can LGBTQIA+ people share a church with conservative evangelicals? What about political differences? Let's dream about what a Church that can cope with difference would look like.  Hosted by Inclusive Evangelicals & the URC.,https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Five Steps To Social Change,Saturday,11:30,Let Citizens UK and the Joint Public Issues Team help you plan a campaign for social change that harnesses the skills and passions of your church/community.,https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,10-minute Tales,Saturday,14:00,"Hear more stories of overcoming challenge and personal transformation, from the very people who have lived it. Ordinary people, everyday problems, big dreams, hard-won discoveries.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Is The Church A Dream Or A Nightmare?,Saturday,16:00,"The Church’s legacy is a mixed bag, to put it mildly. In small group discussion, we’ll ponder if the Church’s failings of the past and the present will forever choke the Church’s dream for a better future.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Bedtime Stories,Saturday,18:00,"Brilliant tales read aloud, chosen to give little ones a gentle end to their day, and encourage daring dreams. Also a hit with their tired adults.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Palestine Today #2,Saturday,19:00,"Hosted by Sally Assam from Nazareth, this chat show features Palestinian guests and discusses the ‘facts on the ground’ in Gaza and the West Bank, and why our advocacy is so important. With mint tea and balkalva.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,The Grace,Saturday,21:00,"A gentle pause in the evening to reflect on your day and feed great dreams. With music, poetry, artwork, prayers and space to ponder. Led by Revd Eddie Boon.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Creating Safer Sacred Spaces For LGBTQIA+ People,Saturday,14:30,"Learn how to cultivate an enriching and safe environment where LGBTQIA+ people can explore and develop faith.   Open Table has been doing this for 16 years, with around 40 active communities in Britain.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Building Trust In A Time Of Polarisation,Sunday,11:30,Explore practical ways to build trust among diverse groups in a community to help bring about social change. With Citizens UK and the Joint Public Issues Team.,https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,10-minute Tales,Sunday,14:00,"Hear real, inspiring stories of overcoming challenge and personal transformation, from the very people who have lived it. Ordinary people, everyday problems, big dreams, hard-won discoveries.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,How To Dream While Awake,Sunday,16:00,"‘Woke’ is used increasingly to belittle those seeking social change for the better, but what’s the alternative? To sleep through it? In small group discussion, we’ll explore the rhythms of realisation, hope and change.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,Bedtime Stories,Sunday,18:00,"Brilliant tales read aloud, chosen to give little ones a gentle end to their day, and encourage daring dreams. Also a hit with their tired parents.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,The Grace,Sunday,21:00,"A gentle pause in the evening to reflect on your festival experience and feed great dreams for the future. With music, poetry, artwork, prayers and space to ponder. Led by Revd Eddie Boon.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,How To Dream While Awake,Sunday,15:00,"Will the dreams we have for our lives, our communities and our society ever come to pass considering the state things are in now? Hear the panel discuss how they keep dreaming despite the present reality.",https://www.greenbelt.org.uk/artists/urc/?back=1
United Reformed Church,yoURCafe,yoURCafe service,Sunday,19:00,"A cafe-style service featuring music, prayers, discussion and chat to inspire us to ‘Dream on’, with readings from Revelation. Livestreamed in collaboration with the URC’s online congregation ‘yoURChurch’.",https://www.greenbelt.org.uk/artists/urc/?back=1
TRUTH! presented by Ramshacklicious & Hijinx,Out & About,Truth!,Sunday,13:00,"A roving outdoor performance by an ensemble of playful troublemakers. The rebellion arrives, full of hope, fiercely comic and on a mission to unite the people in a joyful riot of love! Is it time for you to be set free?",https://www.greenbelt.org.uk/artists/truth-presented-by-ramshacklicious-hijinx/?back=1
TRUTH! presented by Ramshacklicious & Hijinx,Out & About,Truth!,Sunday,15:30,"A roving outdoor performance by an ensemble of playful troublemakers. The rebellion arrives, full of hope, fiercely comic and on a mission to unite the people in a joyful riot of love! Is it time for you to be set free?",https://www.greenbelt.org.uk/artists/truth-presented-by-ramshacklicious-hijinx/?back=1
Trevor Thorn,Wild Goose,Wild Goose Writers,Friday,13:30,"Martin Wroe in conversation with poets, lyricists and wordsmiths from the Wild Goose Publications stable including Tim Aldred, Ruth Harvey, Richard Skinner and Trevor Thorn.",https://www.greenbelt.org.uk/artists/trevor-thorn/?back=1
Trussell Trust,Living Room,Just Worship,Friday,12:30,"Join author Stef Benstead for the launch of her new book, in which she asks: what is God like, and how do we live lives that reflect God's character? Passionate about social justice and God's love for the poor, Stef researches and writes on disability, sickness policy and the welfare state.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Confounding the Mighty: Dreams for a Different Church,Friday,15:30,"Join a panel of people who have lived experience of poverty, led by Luke Larner. How can we be church in a way that makes sure everyone can belong and have agency? How do we shift the power balance?",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Why The Church Shouldn’t Include Working-Class People,Friday,14:00,"Come for a lively discussion with Luke Larner about class, church and solidarity with people who are struggling against poverty. What might a 'just church' look like? What needs to change?",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Surviving the Middle-Class Church,Friday,17:00,"Sharon Jagger and Alex Fry share stories from their research into the experiences of working-class clergy (and, by extension, their congregation members) in the Church of England. In light of their findings, they invite you to explore with them what the church can do to dismantle its elitist, classist culture.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,News Review,Friday,11:00,"Cole Moreton, with guest artist Gabi Garbutt  How do the headlines look if you have experience of living with poverty? Set the agenda and join a panel of people who understand the challenges of life in Britain today.   Led by Cole Morton and featuring Gabi Garbutt",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,News Review,Saturday,11:00,"Cole Moreton, with guest artist Testament  How do the headlines look if you have experience of living with poverty? Set the agenda and join a panel of people who understand the challenges of life in Britain today.   Lead by Cole Morton and featuring Testament",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,"If You’re Not At The Table, You’re On The Menu",Saturday,12:30,"Many of our government-funded systems are failing the most vulnerable and disadvantaged.  At the same time, we are side-lining our greatest asset; local people. We have a stark choice – to keep pouring money into policies we know aren’t working, or to invest in new and better ways that really improve people’s lives. We need a radical reset: one that empowers local charities, grassroots movements and faith groups, in a more imaginative, less bureaucratic, more collaborative approach to community development. A Manifesto for Hope sets out ten tried-and-tested practical principles for how to develop joined-up, cost-effective, community-empowering work, each gleaned form the hard-won experience that has sat at the heart of Steve Chalke’s work over the last four decades. It culminates in a call for a new social covenant, one that will transform the life chances of countless young people and families.  It’s time to reimagine. Lets explore practical ways that bring us off the menu and at the table.  Steve and Julie bring tons of experience, expertise, wisdom and common sense to community engagement – come and learn, share and get inspired  as we think together of new ways of being community.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,The Problem with Lived Experience,Saturday,14:00,"Darren McGarvey asks the difficult question: why personal stories of adversity feel good, but change nothing. He'll provoke us to think about social change and our relationships to our neighbour – and, ultimately, how to really make change happen in our communities.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,News Review,Sunday,12:00,"Cole Moreton, with guest artist Kirsty Taylor  How do the headlines look if you have experience of living with poverty? Set the agenda and join a panel of people who understand the challenges of life in Britain today.   Lead by Cole Morton and featuring Kirsty Taylor",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Laying it Out on The Table,Sunday,15:30,"In food banks and churches up and down the country people are sharing their hopes and dreams, their hardship and reality. We are collecting 100s of tablecloths to lay it out on the table for our new Government so they can see and hear how it feels at the moment for people who do not have enough money to buy the essentials we all need.  Lets join in this movement for justice by sharing our stories and sending a message to our new MPs about what we want to see change in the UK, that will end the need for food banks.  Let’s talk honestly about the things that are not working as well as the glimmers of hope we find. Research by the Trussell Trust shows us how hard it can be. Seven in 10 people visiting a food bank have a disability, 1 in 4 people visiting a food bank have not had a conversation with a friend or family member for more than a month. What’s your story? Have you tried to live on Universal Credit but found you simply did not have enough to buy the essentials we all need? Have you been involved in some kind of social action that has really made a difference? Join Jessica Foster from The Trussell Trust and writer and broadcaster Cole Moreton for a facilitated conversation about what really matters to us.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,"Art, Activism, and Unity",Sunday,14:00,"Kirsty will host a conversation exploring the role of working-class artists in shaping society, drawing upon experiences of creating politically charged work, engaging in activism, and provoking questions about how different classes can unite for a better society.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Restoring Trust in Social Justice,Sunday,17:00,"In response to widening social polarisation and division, join Citizens UK for a 'relational experiment’ as together we explore new ways of finding common ground with people very different to us.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
Trussell Trust,Living Room,Tangle: Knot Our Future,Sunday,19:00,"From Beans to Policy...  3.1 million emergency food parcels were distributed by Trussell Trust food banks in the 12 months to March 2024. This is nearly double the number distributed five years ago.  It is predicted that financial hardship and food insecurity will be experienced by 14% of the population, over 11 million people, in the next year. We cannot allow these rising levels of need to continue, and we know what needs to change to help people who can’t afford the essentials.  How do we get from donating beans to changing policy?  Change is needed at many levels. We need more people to donate staple foods like tins of beans to our food banks. We also need continued design and advocacy work towards policy change, maintaining the pressure on decision makers to do better.  But between the simple gesture of a food donation and the complex reality of working for policy change, what else needs to happen?  What can you do?  Join us on Sunday evening to explore your own agency.   We are hosting a space to learn from people’s lived experience of financial hardship and food insecurity. An opportunity to grow your understanding of the tangle we’re in.   Part game and part evolving artwork, Tangle is an invitation to find new ways forward.  Working in teams, you’re invited to explore possible ways to realise food security for 11.3 million people in the UK.   You will be tasked with unpicking the knots created when individual experience and systemic barriers collide. To cocreate a future where none of us need to use emergency food to get by.  With insight and guidance from a collective of people with lived experience of financial hardship and food insecurity, what ideas might you come up with? and what might you do differently as a result?  This session, led by a collective of people with lived experience and artist Chloe Osborne, invites us to consider our next steps.",https://www.greenbelt.org.uk/artists/trussell-trust/?back=1
